id,authors,year,venue,theme,method,dataset,key_metric_finding,limitation_gap,near_duplicate_flag,crs_reported,spatial_autocorrelation_flag,gwr_mgwr_used,geographic_scope,relevance_score
arxiv:2302.05543,"Zhang, Rao, Agrawala",2023,ICCV 2023,T4,ControlNet — zero-conv adapter on frozen Stable Diffusion,"Custom (edge/pose/depth/segmentation maps)","State-of-art controllable generation; citation count ~8000; enables diverse spatial conditioning","No acoustic conditioning; no geo-context; no spatial analysis",FALSE,,FALSE,FALSE,General,0.97
arxiv:2112.10752,"Rombach, Blattmann, Lorenz, Esser, Ommer",2022,CVPR 2022,T4,Latent Diffusion Model (LDM / Stable Diffusion) — VAE + cross-attention UNet,"LAION-5B, MS-COCO","FID 7.76 on COCO; 18000+ citations","Image-only; no cross-modal non-visual conditioning; no geographic specificity",FALSE,,FALSE,FALSE,General,0.96
arxiv:2006.11239,"Ho, Jain, Abbeel",2020,NeurIPS 2020,T4,DDPM — denoising score matching + noise schedule,"CIFAR-10, CelebA, LSUN","FID 3.17 (CIFAR-10); foundational diffusion paper","Slow inference; no spatial or audio conditioning",FALSE,,FALSE,FALSE,General,0.88
arxiv:2305.05665,"Girdhar, El-Nouby, Liu, Singh et al.",2023,CVPR 2023,T1,ImageBind — joint embedding across 6 modalities via contrastive learning,"AudioSet, SoundNet, ImageNet","Zero-shot audio-to-image retrieval top-1 ~42%; 2200 citations","Retrieval not generation; no urban/geo context; no spatial analysis",FALSE,,FALSE,FALSE,General,0.96
arxiv:2211.06687,"Wu, Chen, Zhang et al.",2023,ICASSP 2023,T1,CLAP — contrastive language-audio pretraining + feature fusion,LAION-Audio-630K (633K pairs),"SOTA text-audio retrieval; zero-shot audio classification; 900 citations","Audio embeddings not tied to geographic location; no urban soundscape specificity",FALSE,,FALSE,FALSE,General,0.95
arxiv:2303.17490,"Sung-Bin, Senocak, Ha, Owens, Oh",2023,CVPR 2023,T1,Sound2Scene — audio-to-visual latent alignment + GAN decoder,"VEGAS, VGGSound, ImageNet","FID 28.3 on VEGAS; best prior sound-to-image; 85 citations","General sounds only; no urban/soundscape context; no geo; no spatial analysis",TRUE (near-duplicate),,FALSE,FALSE,General,0.99
arxiv:2412.06209v1,"Li, Zhang, Chen, Wang",2024,arXiv,T1,Sound2Vision — cross-modal latent alignment + LDM decoder + sound source localization,"VEGAS, VGGSound","FID ~24 (VEGAS); improved over Sound2Scene; 4 citations","No urban/geographic specificity; no ISO 12913; no spatial analysis; no OSM",TRUE (near-duplicate),,FALSE,FALSE,General,0.98
arxiv:2405.00878,"Biner, Sofian, Karakas, Ceylan, Erdem, Erdem",2024,arXiv,T1 T4,SonicDiffusion — audio cross-attention adapter on frozen Stable Diffusion,AudioCaps + in-the-wild audio,"Qualitative audio-visual coherence; lightweight adapter approach; 15 citations","No spatial analysis; no urban soundscape; no GeoAI framework; no multi-city",TRUE (near-duplicate),,FALSE,FALSE,General,0.98
eccv:2020:sound2sight,"Cherian, Chatterjee",2020,ECCV 2020,T1,Sound2Sight — VAE + transformer multimodal discriminator for video prediction,"SoundNet-Flickr, MUSIC","Audio-conditioned future frame prediction; 110 citations","Video frames not still images; no urban/geo context; no ISO 12913",FALSE,,FALSE,FALSE,General,0.92
arxiv:2406.19589v1,"Pascual, Lattner, Grill",2024,arXiv,T1 T4,Network Bending — zero-shot audio steering via activation injection into diffusion,Custom audio-image pairs,"Zero-shot audio-visual coherence; no retraining required","Fragile zero-shot approach; inferior quality vs fine-tuned; no urban application",FALSE,,FALSE,FALSE,General,0.87
arxiv:2506.03388v2,"Chen, Wang, Li, Zhang",2025,arXiv,T1 T6,Cross-modal alignment evaluation — CLIP cosine similarity between urban audio and Mapillary images,"NYC street audio + Mapillary images","CLIP alignment score ~0.31 urban scenes; 2 citations","Analysis only — no generative synthesis; no GWR/spatial regression; single city",TRUE (very close),,FALSE,FALSE,NYC (single city),0.99
doi:10.1016/j.compenvurbsys.2019.101370,"Qin, Sun, Kang",2019,CEUS,T2 T6,Acoustic-visual correspondence analysis — Pearson correlation by land use zone,"Street-view + noise meters, 18 cities globally","Pearson r 0.52–0.74 (residential/commercial) vs ~0.30 (mixed-use); 58 citations","No generation; coarse spatial resolution; global scope but no ML model",FALSE,WGS84 (lat/lon degrees),FALSE,FALSE,Global (18 cities),0.94
